cycle,r_squared,p_center,p_height,p_width,p_fwhm,p_rise_time,p_decay_time,p_rise_decay_symmetry,p_sharpness,p_on,p_off,q_center,q_height,q_width,q_fwhm,q_rise_time,q_decay_time,q_rise_decay_symmetry,q_sharpness,q_on,q_off,r_center,r_height,r_width,r_fwhm,r_rise_time,r_decay_time,r_rise_decay_symmetry,r_sharpness,r_on,r_off,s_center,s_height,s_width,s_fwhm,s_rise_time,s_decay_time,s_rise_decay_symmetry,s_sharpness,s_on,s_off,t_center,t_height,t_width,t_fwhm,t_rise_time,t_decay_time,t_rise_decay_symmetry,t_sharpness,t_on,t_off,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval
13,0.9920325438582025,16661.30135639943,4522.204568317188,18.68507960633642,52.0,30.0,22.0,0.5769230769230769,0.007727005555488548,16631.0,16683.0,16756.219280369834,-3328.8277583312424,6.539777862217747,18.0,11.0,7.0,0.6111111111111112,-0.16061398014124617,16745.0,16763.0,16789.540485153506,48903.398400204926,10.191786725145318,25.0,13.0,12.0,0.52,0.044358425721356225,16777.0,16802.0,16819.59956260346,-9916.39117430038,7.4740318425345675,20.0,8.0,12.0,0.4,-0.10373637753819819,16812.0,16832.0,17015.027373698995,10201.328970252505,32.69888931108873,84.0,46.0,38.0,0.5476190476190477,0.005482141559620911,16969.0,17053.0,114.0,62.0,87.0,221.0,308.0,52.0,1366.0,962.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.9880086922254631,18464.27398270043,3123.4054009268857,14.013809704752314,48.0,16.0,32.0,0.3333333333333333,0.021575315730493667,18448.0,18495.0,18570.047467176297,-4807.45887355427,6.539777862217747,18.0,11.0,7.0,0.6111111111111112,-0.13967929676770982,18559.0,18577.0,18602.199526573542,49301.44949762347,9.92119241672278,26.0,13.0,13.0,0.5,0.04482086740789941,18589.0,18615.0,18632.48233751647,-9706.432006491761,6.539777862217747,21.0,7.0,14.0,0.3333333333333333,-0.11124952967620488,18625.0,18646.0,18826.112305879025,9497.004979789632,31.764635330771913,86.0,48.0,38.0,0.5581395348837209,0.005360199195598137,18778.0,18863.0,111.0,64.0,87.0,217.0,304.0,47.0,1800.0,1813.0
16,,,,,,,,,,,18872.0,,,,,,,,,18908.0,19316.0,,,,,,,,,19328.0,19353.0,,,,,,,,,19362.0,19389.0,,,,,,,,,19532.0,19587.0,,,,,,,,
17,0.993267201883483,20282.04655985934,3409.585791616611,18.82915870400134,50.0,25.0,25.0,0.5,0.009250191679326206,20257.0,20307.0,20377.50959308017,-3248.9452300227463,5.605523881900925,15.0,10.0,5.0,0.6666666666666666,-0.23681072794917918,20368.0,20383.0,20409.187672268123,50500.68093558639,10.29597559046924,26.0,13.0,13.0,0.5,0.04325665010237527,20396.0,20422.0,20439.320542559773,-8615.736974319481,7.4740318425345675,20.0,7.0,13.0,0.35,-0.12624143037274363,20432.0,20452.0,20633.942441518968,9701.331421004605,33.63314329140555,87.0,48.0,39.0,0.5517241379310345,0.004525856965205583,20586.0,20673.0,111.0,61.0,84.0,221.0,305.0,50.0,1821.0,1806.0
18,0.7778668179411146,20633.471220770938,1999.9037685199073,13.759013164671869,38.0,18.0,20.0,0.47368421052631576,0.021589434431336336,20615.0,20653.0,21123.0657460198,-11210.796406705376,10.276793783475956,451.0,439.0,12.0,0.9733924611973392,-0.04037581327104373,20684.0,21135.0,21157.35035725068,41825.76540558365,9.358616509860424,23.0,11.0,12.0,0.4782608695652174,0.052021333065786275,21146.0,21169.0,21187.764389620224,-18302.000349383237,8.408285822732672,68.0,10.0,58.0,0.14705882352941177,-0.05638279676325386,21178.0,21245.0,21381.98081383968,1618.8053927379883,9.172675443110608,29.0,16.0,13.0,0.5517241379310345,0.043074497892866936,21366.0,21395.0,69.0,31.0,561.0,150.0,711.0,38.0,351.0,749.0
19,0.9923912502689601,22142.051940668363,2991.8428462432103,16.052182025443564,43.0,21.0,22.0,0.4883720930232558,0.016032863529585988,22121.0,22164.0,22238.163008420564,-4285.517199504118,5.605523881900925,17.0,11.0,6.0,0.6470588235294118,-0.16178391576494086,22227.0,22244.0,22269.960491668517,50501.85726571761,9.974254802497605,26.0,13.0,13.0,0.5,0.044474953728508154,22257.0,22283.0,22300.218453433095,-9341.32442331304,6.539777862217747,20.0,7.0,13.0,0.35,-0.1135038196162029,22293.0,22313.0,22494.942441518968,9434.601729931002,33.63314329140555,86.0,47.0,39.0,0.5465116279069767,0.004864457694661421,22448.0,22534.0,106.0,63.0,86.0,221.0,307.0,43.0,1508.0,1112.0
20,,,,,,,,,,,22526.0,,,,,,,,,22560.0,23000.0,,,,,,,,,23011.0,23035.0,,,,,,,,,23044.0,23093.0,,,,,,,,,23225.0,23263.0,,,,,,,,
21,0.9921962044336294,23935.13149203937,2988.140509551001,18.786040994605436,52.0,28.0,24.0,0.5384615384615384,0.005881623571295107,23907.0,23959.0,24028.465433584945,-3940.423049511692,5.605523881900925,16.0,10.0,6.0,0.625,-0.168189972198942,24018.0,24034.0,24059.9615691553,46280.67717282059,10.186301784945556,26.0,13.0,13.0,0.5,0.04380690851033007,24047.0,24073.0,24090.599619848705,-9311.395026066926,7.4740318425345675,20.0,8.0,12.0,0.4,-0.09903876544284132,24083.0,24103.0,24282.68764497888,10198.976711149076,36.43590523235594,89.0,47.0,42.0,0.5280898876404494,0.004933142707701335,24236.0,24325.0,111.0,59.0,85.0,222.0,307.0,52.0,1794.0,1790.0
22,0.9882549494658659,24683.104118340372,2522.2988378036143,12.14530174411867,48.0,14.0,34.0,0.2916666666666667,0.02974537537259043,24669.0,24716.0,24774.424660900142,-1630.631648232166,4.671269901584105,13.0,8.0,5.0,0.6153846153846154,-0.3190069932053771,24766.0,24779.0,24807.50382464582,49279.94502517659,10.479477803421478,27.0,14.0,13.0,0.5185185185185185,0.04227654588206732,24794.0,24821.0,24837.405474741416,-8570.10030829707,6.539777862217747,18.0,6.0,12.0,0.3333333333333333,-0.1365103538597603,24831.0,24849.0,25031.027373698995,11959.109642019856,32.69888931108873,88.0,50.0,38.0,0.5681818181818182,0.005701275936417348,24981.0,25069.0,97.0,50.0,83.0,220.0,303.0,47.0,745.0,748.0
