,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00001376478868,233.8534629749987,333.0084619259482,31.0,,,,,,,,,,
1,1,2040.5753390998561,0.22314728292981004,1.9286070603201482,2134.605488593295,-1.3731689028198217,0.2114134052660813,2185.688895885737,1.787764432857227,11.137658985196646,2215.8493218002877,-0.301998137253355,5.095930801728113,2502.3013563994245,0.7033481899017603,10.191861603456227,0.7806218347324659,94.0,92.0,87.0,287.0,374.0,2.0,,,2.0,1.0,1.0,0.5,0.3935416182272372,0.11029409002517505,2.0,1.0,1.0,0.5,0.22857307735551824,0.10945443717577368,27.0,13.0,14.0,0.48148148148148145,1.7041178530032863,0.10984599353662916,8.0,3.0,5.0,0.375,0.7774144699110268,0.11058135425001617,38.0,27.0,11.0,0.7105263157894737,,,,0.0,2040.0,2042.0,2134.0,2136.0,2173.0,2199.0,2213.0,2221.0,2496.0,2508.0
2,2,3043.0042579761785,0.2860452557658627,0.10543910614249659,3116.7747071325425,-0.21713393208192672,0.009206215033566056,3185.7537752667226,1.7116469074185086,11.426515286685557,3214.2412191619683,-0.3584957044020193,5.095930801648194,3518.1506819819597,0.5611591359675259,5.095930648234337,0.729035640391004,74.0,72.0,100.0,305.0,405.0,2.0,1002.0,1002.0,2.0,1.0,1.0,0.5,0.29614771085170544,0.10924815654046371,2.0,1.0,1.0,0.5,0.19603207287797714,0.11559350971525142,29.0,15.0,14.0,0.5172413793103449,1.6098354423025194,0.11382278941051113,4.0,2.0,2.0,0.5,0.8740655566808619,0.11521294279182087,10.0,5.0,5.0,0.5,,,,0.0,3042.0,3044.0,3116.0,3118.0,3172.0,3200.0,3212.0,3216.0,3517.0,3521.0
3,3,4047.421573619227,1.0719489641677826,0.274682478284624,4085.575839151113,-0.9959879121246834,0.2809664979426875,4185.560707865119,1.7425610599136034,10.530347967218582,4216.03069528012,-0.41574335132297746,2.5479654008640567,4482.123304500719,0.5441431233018849,12.739827004320285,0.792586515665128,39.0,37.0,135.0,265.0,400.0,2.0,1004.0,995.0,2.0,1.0,1.0,0.5,0.37805139743678123,0.11484018749161683,2.0,1.0,1.0,0.5,0.3443728639195314,0.13055983594003268,26.0,12.0,14.0,0.46153846153846156,1.6017766574823074,0.12475345774708758,5.0,1.0,4.0,0.2,0.7349394555910835,0.1023914502986161,24.0,21.0,3.0,0.875,,,,0.0,4046.0,4048.0,4085.0,4087.0,4174.0,4200.0,4215.0,4220.0,4473.0,4485.0
4,4,5080.249163686177,10.840558584631601,-0.09278092595114525,5106.122670394904,-0.8150320254199629,-0.10142303713574188,5185.544983938118,1.725815174993134,11.035882182197389,5214.510714239782,-0.3509935922346152,5.625452746368565,5473.273982700431,0.5676002773335775,7.64389620259217,0.7480042035110513,25.0,23.0,118.0,253.0,371.0,2.0,1033.0,1003.0,2.0,1.0,1.0,0.5,0.12375256258594197,0.1130582591520777,2.0,1.0,1.0,0.5,0.47957908013303924,0.11329537399085102,26.0,14.0,12.0,0.5384615384615384,1.8188674366230488,0.11407484465721494,11.0,4.0,7.0,0.36363636363636365,0.6927208734592818,0.11390655028170732,44.0,5.0,39.0,0.11363636363636363,,,,0.0,5079.0,5081.0,5104.0,5107.0,5172.0,5198.0,5211.0,5222.0,5468.0,5475.0
5,5,6054.392811994459,0.16046443482848854,7.64389620259217,6079.208940438735,-3.7950395303273567,0.09051983562943641,6185.2784491886705,1.7508570857243477,10.506838357712784,6221.575339099857,-0.33710427826443384,2.547965400864024,6505.726017299569,0.6736507235839128,7.64389620259217,0.7488835200766483,30.0,21.0,145.0,287.0,432.0,9.0,974.0,998.0,9.0,6.0,3.0,0.6666666666666666,0.31508331566877923,0.11424703781944388,2.0,1.0,1.0,0.5,0.3234459067328793,0.11424703781944388,26.0,12.0,14.0,0.46153846153846156,1.641921110843941,0.11424703781944388,4.0,3.0,1.0,0.75,0.4433053784888124,0.11424703781944388,52.0,30.0,22.0,0.5769230769230769,,,,0.0,6048.0,6057.0,6078.0,6080.0,6173.0,6198.0,6219.0,6223.0,6476.0,6510.0
6,6,6822.956060492125,0.32359744544731467,0.11415902347640779,7116.134188773351,-0.3171654450726493,0.495766166464539,7185.633853028925,1.7229865174410925,10.839765625624382,7215.607169631159,-0.3494519271719185,6.529536170447383,7475.849321800287,0.62270253814702,5.095930801728113,0.7168970663513783,293.0,291.0,105.0,272.0,377.0,2.0,769.0,999.0,2.0,1.0,1.0,0.5,0.15619079410964526,0.12773759946177024,2.0,1.0,1.0,0.5,0.3227482985505047,0.1251563069983763,24.0,14.0,10.0,0.5833333333333334,1.5081179752141234,0.12275350527463814,7.0,3.0,4.0,0.42857142857142855,0.7639366880813312,0.12046472146384701,37.0,6.0,31.0,0.16216216216216217,,,,0.0,6822.0,6824.0,7115.0,7117.0,7172.0,7196.0,7213.0,7220.0,7473.0,7492.0
7,7,8047.424642248009,4.5317570158648115,0.18648298022206283,8108.575339099857,-0.7874879205194021,0.3284207041691251,8185.3442957472835,1.806997707597271,10.19584401509299,8217.575339099858,-0.3762891272801444,2.5479654008640567,8491.45752920412,0.6126152518176388,10.191861603456227,0.7712210475065819,62.0,60.0,112.0,275.0,387.0,2.0,1224.0,1001.0,2.0,1.0,1.0,0.5,0.32512007375767926,0.11603206894530799,2.0,1.0,1.0,0.5,0.4131327298469015,0.12005308122096155,26.0,12.0,14.0,0.46153846153846156,1.8554589088416278,0.12284912164227543,3.0,1.0,2.0,0.3333333333333333,0.6504106988652251,0.12121792623917677,11.0,7.0,4.0,0.6363636363636364,,,,0.0,8046.0,8048.0,8108.0,8110.0,8173.0,8198.0,8217.0,8220.0,8484.0,8495.0
8,8,9049.424655697838,0.9738881670375927,0.2780291440240278,9140.575339099858,-0.40533432293466604,0.41219297940208643,9185.8222712936,1.8146850268072703,10.687600285068106,9217.575339099858,-0.3288279663173422,2.547965400862823,9482.842552360631,0.721884064155977,5.09593080172751,0.7265258915235943,91.0,89.0,80.0,270.0,350.0,2.0,1002.0,997.0,2.0,1.0,1.0,0.5,0.3240930453395787,0.11791468345852349,3.0,2.0,1.0,0.6666666666666666,0.2812661493451245,0.11545723588633253,25.0,13.0,12.0,0.52,1.8648746779262053,0.11683302702138186,6.0,5.0,1.0,0.8333333333333334,0.6050981657837695,0.11775807846385543,52.0,20.0,32.0,0.38461538461538464,,,,0.0,9048.0,9050.0,9139.0,9142.0,9173.0,9198.0,9213.0,9219.0,9480.0,9489.0
9,9,10133.308736242685,0.7688587452201014,0.25153046427403686,10150.27050922467,-0.3023295802025479,0.5566774715412114,10185.683614077869,1.7917184947267297,10.604190094537627,10218.575339099858,-0.4057059395020977,2.5479654008640567,10492.971203611256,0.588925757447051,28.027619409504627,0.8653987804587496,17.0,15.0,71.0,285.0,356.0,2.0,1084.0,1004.0,2.0,1.0,1.0,0.5,0.34867232070542536,0.1187740829768997,2.0,1.0,1.0,0.5,0.02941904397385972,0.1193989976717039,24.0,12.0,12.0,0.5,1.780735376154918,0.12679954158614934,6.0,5.0,1.0,0.8333333333333334,0.6346538325302595,0.11509549001686886,48.0,24.0,24.0,0.5,,,,0.0,10132.0,10134.0,10149.0,10151.0,10174.0,10198.0,10214.0,10220.0,10475.0,10505.0
