,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00029732867833,300.72002454451774,431.1761462452545,33.0,,,,,,,,,,
1,1,2063.4246609001434,0.13985269304096754,2.5479654008640567,2122.617863762039,-0.4338782725552666,0.23060575178940856,2185.531371059077,1.7521058942770622,11.021285670706066,2216.355006447673,-0.2898683845025553,6.2598242668845625,2490.6477415035024,0.49183509638038414,36.3039650588525,0.9556651250386298,60.0,55.0,102.0,303.0,405.0,5.0,,,5.0,1.0,4.0,0.2,0.10138937660428773,0.06364392709809528,2.0,1.0,1.0,0.5,0.177296111987911,0.06703587297331899,27.0,14.0,13.0,0.5185185185185185,1.6477754301952587,0.0667409766468567,13.0,5.0,8.0,0.38461538461538464,0.5997084302497502,0.0683367990565618,83.0,42.0,41.0,0.5060240963855421,,,,0.0,2062.0,2067.0,2122.0,2124.0,2172.0,2199.0,2211.0,2224.0,2464.0,2527.0
2,2,3046.5753450307593,0.14612646175624014,2.5479654008640567,3141.424660898801,-0.1724694561884257,0.4649781267535262,3185.641529162283,1.7448886412205926,11.162637607825372,3215.0777576998607,-0.3012459880064064,6.49502478321337,3490.788146584323,0.5120838003183102,37.3661137183824,0.9618766319977837,94.0,90.0,80.0,293.0,373.0,4.0,984.0,1001.0,4.0,1.0,3.0,0.25,0.24050587418381567,0.05648926312706207,3.0,1.0,2.0,0.3333333333333333,0.06982262123992622,0.05648926312706207,28.0,14.0,14.0,0.5,1.637346412270931,0.05648926312706207,9.0,4.0,5.0,0.4444444444444444,0.6508599816946067,0.05648926312706207,76.0,42.0,34.0,0.5526315789473685,,,,0.0,3046.0,3050.0,3140.0,3143.0,3172.0,3200.0,3211.0,3220.0,3456.0,3513.0
3,3,4066.110611906264,0.20541271921659754,0.5374034560356618,4119.405616373389,-0.3777568061822857,0.314602914638994,4185.605730357059,1.7759996668014006,11.359044283262328,4214.954696361002,-0.282905048900986,6.7159680866512215,4492.625791741298,0.499624700057432,37.212767104488215,0.9590649515404303,53.0,51.0,108.0,300.0,408.0,2.0,1019.0,1001.0,2.0,1.0,1.0,0.5,0.1526971922483781,0.05821687457655882,2.0,1.0,1.0,0.5,0.2081961028803122,0.059685151328395,27.0,14.0,13.0,0.5185185185185185,1.7553962738993567,0.0667063297330776,16.0,5.0,11.0,0.3125,0.544783183329558,0.0698056639958272,71.0,36.0,35.0,0.5070422535211268,,,,0.0,4065.0,4067.0,4118.0,4120.0,4172.0,4199.0,4210.0,4226.0,4463.0,4526.0
4,4,5054.810150287585,0.14999129042791295,1.1346791546043624,5106.575339099857,-0.20734763921647295,0.5644350381270883,5185.6867833319475,1.745697963371945,11.003694514391865,5216.351348812006,-0.28168636068149294,8.067950979692817,5494.657460196832,0.49046423716665444,34.22576753485458,0.9565419925362946,52.0,49.0,118.0,303.0,421.0,3.0,989.0,998.0,3.0,2.0,1.0,0.6666666666666666,0.14000635803961978,0.05749647893623677,3.0,2.0,1.0,0.6666666666666666,0.08617367978959972,0.05672577137260662,26.0,13.0,13.0,0.5,1.7018209378801148,0.057348123935773716,12.0,5.0,7.0,0.4166666666666667,0.6164722233742178,0.05651284727376921,83.0,43.0,40.0,0.5180722891566265,,,,0.0,5053.0,5056.0,5105.0,5108.0,5173.0,5199.0,5211.0,5223.0,5457.0,5526.0
5,5,6062.575339099857,0.15454902251733635,2.5479654008640567,6110.152825843188,-0.14730552813341177,0.39471339605326955,6185.46642671774,1.7769850099562785,10.725205179322211,6215.204911472039,-0.37292526011881294,2.5479654008640567,6491.7451671573945,0.5040194438264124,37.54419035564142,0.9575563664889616,47.0,45.0,113.0,304.0,417.0,2.0,1008.0,1002.0,2.0,1.0,1.0,0.5,0.2110183773145356,0.05772098618734323,2.0,1.0,1.0,0.5,0.12046679110767491,0.05793569269116827,29.0,13.0,16.0,0.4482758620689655,1.7369218656895555,0.05858263150695783,8.0,1.0,7.0,0.125,0.7191194838226844,0.059170237551779414,65.0,31.0,34.0,0.47692307692307695,,,,0.0,6062.0,6064.0,6109.0,6111.0,6172.0,6199.0,6214.0,6222.0,6461.0,6526.0
6,6,7040.062831626537,0.19428234564686447,0.4865318651357751,7144.719857427945,-0.1831447118021643,0.5600752950881934,7185.427537965361,1.7555318075765336,10.738426328615464,7216.424660900143,-0.3651186244518599,2.5479654008639554,7492.0940121601125,0.49935249669448534,36.39780199790752,0.9562618967057205,105.0,103.0,78.0,305.0,383.0,2.0,977.0,1000.0,2.0,1.0,1.0,0.5,0.2695581867444574,0.057686132154959005,2.0,1.0,1.0,0.5,0.051831585964491375,0.057686132154959005,28.0,14.0,14.0,0.5,1.7480841437570787,0.057686132154959005,7.0,1.0,6.0,0.14285714285714285,0.6216245552253278,0.057686132154959005,69.0,28.0,41.0,0.4057971014492754,,,,0.0,7039.0,7041.0,7144.0,7146.0,7173.0,7199.0,7215.0,7222.0,7464.0,7527.0
7,7,8048.424660900143,0.11604454059720445,2.5479654008054933,8142.832450591716,-0.1076112893237742,1.7023193641566525,8185.542545354457,1.7417305896749777,10.978264176333532,8215.868197743837,-0.3369427151096963,6.208754839355873,8492.035613752014,0.4731514621642023,34.81652216343159,0.9583727940268933,95.0,93.0,81.0,307.0,388.0,2.0,1008.0,1000.0,2.0,1.0,1.0,0.5,0.10511448109947158,0.057809833713232985,4.0,1.0,3.0,0.25,0.07628635069905651,0.05793104599693136,25.0,13.0,12.0,0.52,1.7176440757768194,0.05750693006961838,11.0,4.0,7.0,0.36363636363636365,0.6596903532929,0.0576506691095386,78.0,36.0,42.0,0.46153846153846156,,,,0.0,8047.0,8049.0,8142.0,8146.0,8173.0,8198.0,8212.0,8223.0,8456.0,8530.0
8,8,9048.424660874438,0.2353719667511782,0.4394130810831519,9141.424660900142,-0.10947908248362663,2.5479654008640567,9185.648599854807,1.716811435810633,11.067608149455461,9217.098355906644,-0.28163054453277836,7.643896202588168,9491.769404060906,0.48611434054578023,34.20726823203704,0.9544389635604045,93.0,90.0,85.0,298.0,383.0,3.0,1000.0,1002.0,3.0,1.0,2.0,0.3333333333333333,0.1463864798010475,0.05865048752902399,2.0,1.0,1.0,0.5,0.1849217676799402,0.058006357677726564,27.0,14.0,13.0,0.5185185185185185,1.6802891337319779,0.0580570687012528,14.0,6.0,8.0,0.42857142857142855,0.521287390601209,0.05856135557544538,61.0,29.0,32.0,0.47540983606557374,,,,0.0,9047.0,9050.0,9140.0,9142.0,9172.0,9199.0,9213.0,9225.0,9463.0,9523.0
9,9,10049.575339099858,0.10250710421123045,2.5479654008640567,10146.424660900142,-0.2822019942043457,0.44393209183922305,10185.57097355389,1.738854951531112,10.917105662224726,10217.150678199714,-0.33008285492005573,5.095930801728113,10491.211539687627,0.4836719078094913,33.975744807864366,0.9552756085162423,96.0,94.0,75.0,304.0,379.0,2.0,1002.0,997.0,2.0,1.0,1.0,0.5,0.13501006637227345,0.060577793385300005,3.0,1.0,2.0,0.3333333333333333,0.09413752634950648,0.06078428475121355,28.0,14.0,14.0,0.5,1.6154173144692785,0.061804318910854146,11.0,6.0,5.0,0.5454545454545454,0.5160189227147454,0.06233583364098587,77.0,40.0,37.0,0.5194805194805194,,,,0.0,10049.0,10051.0,10145.0,10148.0,10172.0,10199.0,10211.0,10220.0,10460.0,10524.0
10,10,11054.424660900113,0.1287494258772241,2.5479654008640567,11148.597862791337,-0.4642049559630257,0.30245502612312947,11185.463800120018,1.7503380829791164,10.907098454753376,11216.070171785392,-0.33822105976499645,5.095930801728113,11491.80719506455,0.4978113768680567,35.62647531244644,0.9600869253101593,95.0,93.0,70.0,311.0,381.0,2.0,1004.0,1000.0,2.0,1.0,1.0,0.5,0.20923997059804886,0.058560711818664235,2.0,1.0,1.0,0.5,0.10973058874664175,0.05767900880029484,26.0,12.0,14.0,0.46153846153846156,1.8488984156984973,0.05771727967114393,7.0,5.0,2.0,0.7142857142857143,0.673178421926916,0.05768926409564278,64.0,27.0,37.0,0.421875,,,,0.0,11053.0,11055.0,11148.0,11150.0,11173.0,11199.0,11211.0,11218.0,11465.0,11529.0
11,11,12057.575339099858,0.12407383734027691,2.5479654008640567,12124.575448570336,-0.3334820593862447,0.2818650064088633,12185.660984587908,1.7525263762847845,10.976556120470455,12214.931288319352,-0.28269214730983405,5.095930801728113,12492.13009124648,0.4946591597452173,37.80828376847693,0.9617665900875146,67.0,65.0,96.0,301.0,397.0,2.0,1004.0,1001.0,2.0,1.0,1.0,0.5,0.13645364491401998,0.054342829364776635,2.0,1.0,1.0,0.5,0.15116084398335222,0.054342829364776635,28.0,14.0,14.0,0.5,1.6996296527181092,0.054342829364776635,7.0,2.0,5.0,0.2857142857142857,0.6209450455010741,0.054342829364776635,100.0,48.0,52.0,0.48,,,,0.0,12057.0,12059.0,12124.0,12127.0,12172.0,12200.0,12213.0,12220.0,12458.0,12521.0
12,12,13045.575339099858,0.15271166544933365,2.5479654006470485,13091.080504247448,-0.14493497229753846,0.4138904128568678,13185.830565780889,1.7503612547280374,11.169931078665725,13215.945972343305,-0.31606558666995066,6.00214377380841,13492.463745768708,0.5193108358203657,36.85979954878179,0.9602587873898514,49.0,43.0,130.0,309.0,439.0,6.0,988.0,1000.0,6.0,5.0,1.0,0.8333333333333334,0.21166251238880082,0.06229366829996301,2.0,1.0,1.0,0.5,0.10118069146744166,0.0611374445263548,25.0,13.0,12.0,0.52,1.8392828870182665,0.06042363914193973,12.0,4.0,8.0,0.3333333333333333,0.6631627221283822,0.06146091606093584,92.0,47.0,45.0,0.5108695652173914,,,,0.0,13041.0,13047.0,13090.0,13092.0,13173.0,13198.0,13212.0,13220.0,13455.0,13529.0
13,13,14028.424660897355,0.11884548383484551,2.5479654008638746,14145.575356327068,-0.5841247443819744,0.3062070648442981,14185.349112072094,1.7599133564969092,10.942317897736974,14215.575339099858,-0.3988303257576945,2.5479654008640567,14503.904069198274,0.5128715474594934,30.57558481036868,0.9363594746190298,118.0,116.0,72.0,304.0,376.0,2.0,982.0,999.0,2.0,1.0,1.0,0.5,0.20382575977642445,0.05547408989774104,2.0,1.0,1.0,0.5,0.15106699989293515,0.061366243837421126,27.0,13.0,14.0,0.48148148148148145,1.812699373412768,0.06053609133450081,4.0,3.0,1.0,0.75,0.7093196464370052,0.061891698419843356,89.0,57.0,32.0,0.6404494382022472,,,,0.0,14027.0,14029.0,14145.0,14147.0,14172.0,14199.0,14213.0,14217.0,14466.0,14521.0
