,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off
11,11,12750.5771605401,1.655345313533855,0.2909587448802745,13120.40106713534,-1.355773053169459,0.2695313264885887,13184.887508877136,1.8134420024979394,10.507699204806137,13267.575339099858,-0.4488230817999998,1.4867281342582195,13457.597546426363,1.7756097636820927,0.3056058028377292,0.5366846786874809,368.0,366.0,151.0,190.0,341.0,2.0,903.0,1001.0,2.0,1.0,1.0,0.5,0.5140807588544121,0.21310821340454147,2.0,1.0,1.0,0.5,0.5665807351040186,0.21916158984014522,23.0,12.0,11.0,0.5217391304347826,2.237717119935845,0.21730061679950832,2.0,1.0,1.0,0.5,0.5052575607795782,0.21465732288432798,2.0,1.0,1.0,0.5,,,,0.0,12750.0,12752.0,13118.0,13121.0,13173.0,13196.0,13267.0,13269.0,13457.0,13459.0
12,12,14076.378093598385,1.9423496816807302,0.2621760092316519,14155.310591566054,-0.6150542249438073,-0.024232325593467885,14184.997595734996,1.7642062273896821,10.505401091369842,14227.890639129586,-0.6519271601280149,0.7717388368367644,14466.424660900142,0.4876489094366834,2.5479654008640567,0.5067693474915334,78.0,76.0,76.0,238.0,314.0,2.0,1325.0,998.0,2.0,1.0,1.0,0.5,0.7600226993287084,0.23277319939766988,2.0,1.0,1.0,0.5,0.1059945810262582,0.22890251642569043,17.0,13.0,4.0,0.7647058823529411,1.8907734589977574,0.22887632905056957,2.0,1.0,1.0,0.5,0.6168202385822994,0.22638915215268426,3.0,2.0,1.0,0.6666666666666666,,,,0.0,14075.0,14077.0,14153.0,14156.0,14172.0,14189.0,14227.0,14229.0,14464.0,14467.0
13,13,15798.055294425627,0.6196226304926395,0.10346506596898959,16142.422910300196,-2.460591382287444,0.2481658200594607,16184.972626301007,1.9036521493699905,10.456711811169615,16218.988602470834,-0.556414419063541,0.7431195459504248,16491.032923460505,0.8156853065801992,2.5479654008640567,0.559899365042627,344.0,342.0,79.0,272.0,351.0,2.0,1722.0,1999.0,2.0,1.0,1.0,0.5,0.3367761903177752,0.23840016788786839,2.0,1.0,1.0,0.5,0.7366472828134749,0.21223711444886417,26.0,11.0,15.0,0.4230769230769231,1.9867089631207322,0.21984041607665028,2.0,1.0,1.0,0.5,0.7540773748862114,0.2219509851207847,5.0,4.0,1.0,0.8,,,,0.0,15797.0,15799.0,16141.0,16143.0,16175.0,16198.0,16218.0,16220.0,16487.0,16492.0
14,14,16777.57560069197,1.8125988663444204,0.2666333641493141,17142.8361216589,-0.4732722866698592,0.006302377570001183,17185.22560194273,1.753759406721475,11.161409948148368,17290.942393131852,-1.9681750287749307,-0.036937584256657906,17487.424660900142,0.8284264557171593,2.5479654008640567,0.545422140481021,365.0,363.0,150.0,199.0,349.0,2.0,980.0,1005.0,2.0,1.0,1.0,0.5,0.379559498577848,0.22623596917570765,2.0,1.0,1.0,0.5,0.4401035916980264,0.22395671879596293,29.0,15.0,14.0,0.5172413793103449,1.773129737253436,0.22395671879596293,2.0,1.0,1.0,0.5,0.8543138166971411,0.22395671879596293,5.0,1.0,4.0,0.2,,,,0.0,16777.0,16779.0,17142.0,17145.0,17176.0,17199.0,17290.0,17292.0,17486.0,17491.0
15,15,17979.416223851622,2.113363089539723,0.24375509125101008,18142.42448807038,-1.9801107689904025,0.24471886412268642,18183.972626301005,1.7376767830458806,11.062813161500276,18247.598426184573,-2.38214475380961,0.24929347680896524,18479.424643381804,0.6193392537355231,2.5479654008640567,0.5416851119484146,163.0,161.0,108.0,231.0,339.0,2.0,1201.0,994.0,2.0,1.0,1.0,0.5,0.2583676840541689,0.2323324897837335,2.0,1.0,1.0,0.5,0.6009695462246483,0.2323324897837335,28.0,13.0,15.0,0.4642857142857143,1.5190254538483856,0.2323324897837335,2.0,1.0,1.0,0.5,0.7644634016131856,0.2323324897837335,2.0,1.0,1.0,0.5,,,,0.0,17978.0,17980.0,18141.0,18143.0,18174.0,18195.0,18247.0,18249.0,18478.0,18480.0
16,16,18889.957656647042,0.5861169029311367,0.07655507216468387,19142.220598632604,-0.5638002402810568,0.6837394526085038,19186.23845928824,1.7072786026258182,10.800119642869722,19216.42466089903,-0.4970224365197438,2.547965400774186,19483.593067840557,1.021960532119826,0.7644696991296849,0.5183687947047569,252.0,249.0,76.0,268.0,344.0,3.0,911.0,1005.0,2.0,1.0,1.0,0.5,0.37534437806147364,0.2202932845153578,3.0,1.0,2.0,0.3333333333333333,0.6960001173181349,0.22146945149076833,18.0,10.0,8.0,0.5555555555555556,1.878730109549344,0.21730810656187857,3.0,2.0,1.0,0.6666666666666666,0.780699800605608,0.22146945149076833,3.0,2.0,1.0,0.6666666666666666,,,,0.0,18889.0,18892.0,19141.0,19144.0,19176.0,19194.0,19214.0,19217.0,19482.0,19485.0
17,17,21000.575374646756,2.338400996814463,0.23881662480527835,21143.677479317623,-0.7109054821071555,0.48248523718113495,21186.006578664696,1.9423710407674957,10.972744025537219,21236.424660900142,-1.015451733826503,0.3626344600337836,21480.807989501944,1.007019893685244,2.5479654008640567,0.5519602034670642,143.0,141.0,95.0,244.0,339.0,2.0,2111.0,1999.0,2.0,1.0,1.0,0.5,0.7908407024356408,0.2205591033973988,2.0,1.0,1.0,0.5,0.5962023050149168,0.22252270498182888,27.0,12.0,15.0,0.4444444444444444,1.9895708704104058,0.2210571562330866,3.0,1.0,2.0,0.3333333333333333,0.5691829776988448,0.22048605988161377,3.0,2.0,1.0,0.6666666666666666,,,,0.0,21000.0,21002.0,21143.0,21145.0,21174.0,21199.0,21235.0,21238.0,21479.0,21482.0
18,18,22035.575339099858,0.8110680654409668,0.4652187028366727,22145.592268487417,-1.8073913890646232,0.2569383317491039,22186.45203459914,1.8072221312478713,11.278081093657041,22214.424660900142,-0.5470416758619309,2.5479654008640567,22482.99682697925,0.7708253542275384,2.5479654008640567,0.5382062610362883,111.0,108.0,71.0,268.0,339.0,3.0,1035.0,1004.0,3.0,2.0,1.0,0.6666666666666666,0.4693748268660809,0.22450479752696068,2.0,1.0,1.0,0.5,0.6265493726448353,0.2270268450978015,24.0,15.0,9.0,0.625,1.5718884194723937,0.2265127053081149,3.0,1.0,2.0,0.3333333333333333,0.9524012558331096,0.22497165330183547,2.0,1.0,1.0,0.5,,,,0.0,22034.0,22037.0,22145.0,22147.0,22172.0,22195.0,22213.0,22216.0,22482.0,22484.0
19,19,22882.136286607227,0.7341956551436617,0.5708200637180363,23119.97854640149,-0.5730847722750292,0.5334862379266139,23185.422611528153,1.859448691540467,10.040093276739587,23253.13188280408,-0.4569618285127846,0.4288840440231657,23496.424660900142,0.8270151846034554,2.547965400864055,0.5310393668189766,238.0,236.0,135.0,249.0,384.0,2.0,846.0,995.0,2.0,1.0,1.0,0.5,0.7070386699982798,0.2236677898856291,2.0,1.0,1.0,0.5,0.5188782537972931,0.21534475574547052,26.0,11.0,15.0,0.4230769230769231,1.6228021738472136,0.2240804834596858,2.0,1.0,1.0,0.5,0.5226860629201102,0.22409146980890432,8.0,1.0,7.0,0.125,,,,0.0,22881.0,22883.0,23119.0,23121.0,23175.0,23196.0,23252.0,23254.0,23495.0,23503.0
20,20,23996.575356384164,3.813365174478004,0.2306044805684498,24140.06610009184,-0.7925164423649442,-0.10583904638414307,24186.317087339787,1.7294191544963815,10.692153374474907,24216.544693340307,-0.3889098159070837,4.227963853473261,24485.93000600198,0.9763589925568696,0.6151155637637246,0.5202431005199596,143.0,141.0,80.0,268.0,348.0,2.0,1115.0,1004.0,2.0,1.0,1.0,0.5,0.4980313366177508,0.25085880196844407,2.0,1.0,1.0,0.5,0.6436239498818388,0.24268776007107146,23.0,10.0,13.0,0.43478260869565216,1.7765008958344488,0.24201773764021806,4.0,2.0,2.0,0.5,0.690389341203751,0.23927736748532888,2.0,1.0,1.0,0.5,,,,0.0,23996.0,23998.0,24139.0,24141.0,24176.0,24199.0,24215.0,24219.0,24485.0,24487.0
21,21,25050.925722466985,1.0616585163596501,0.0649934267719114,25140.857707309697,-0.49246679892675455,0.6353929134180062,25185.45203459914,1.7543845326745917,10.17470334530973,25215.575339501986,-0.43748251787945464,2.5479654008640567,25503.0483574634,0.8501328065109366,0.5940967261550391,0.5201799792846197,90.0,88.0,77.0,287.0,364.0,2.0,1054.0,1000.0,2.0,1.0,1.0,0.5,0.5347764894569049,0.22364286658872734,2.0,1.0,1.0,0.5,0.41226620022747507,0.2163509553968304,21.0,12.0,9.0,0.5714285714285714,1.9855302660784058,0.22323409131391353,2.0,1.0,1.0,0.5,0.7199206347751885,0.2259602896212514,2.0,1.0,1.0,0.5,,,,0.0,25050.0,25052.0,25140.0,25142.0,25174.0,25194.0,25215.0,25217.0,25502.0,25504.0
