,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.00000014573725,155.38398170162222,213.06155747278126,13.0,,,,,,,,,,
1,1,3050.3361578615973,0.09697671175650674,13.817612200532395,3148.9726263010075,-0.06709901879438598,10.823147856115282,3185.643457067015,1.7427536492956452,11.316203394901295,3215.4520345991364,-0.3045929183693583,6.844343008822672,3491.86372301545,0.494202323318411,36.57153186722841,0.9934651252823394,102.0,74.0,85.0,312.0,397.0,28.0,,,34.0,17.0,17.0,0.5,0.1017363539292514,0.017230949987336333,16.0,10.0,6.0,0.625,0.08072574910479619,0.017212379569383828,27.0,14.0,13.0,0.5185185185185185,1.6780293470448178,0.01740677951917015,13.0,4.0,9.0,0.3076923076923077,0.6527053627021855,0.01733255913214889,93.0,47.0,46.0,0.5053763440860215,,,,0.0,3037.0,3065.0,3139.0,3155.0,3172.0,3199.0,3211.0,3224.0,3445.0,3536.0
2,2,4049.3310420987495,0.09229163453705116,14.838819355550994,4147.547965400863,-0.053685124730524454,15.287792405178672,4185.593095599792,1.741344111342642,11.333846179522139,4215.303210367139,-0.2978126931845874,6.8870193139884694,4491.827757376443,0.49537269915446575,36.6044530104041,0.9932590362569805,105.0,72.0,86.0,314.0,400.0,33.0,1003.0,1000.0,46.0,23.0,23.0,0.5,0.06481988846315648,0.020016582510384767,16.0,10.0,6.0,0.625,0.054715245733511955,0.013479851601129732,27.0,14.0,13.0,0.5185185185185185,1.6904170149484103,0.023815631296782398,14.0,4.0,10.0,0.2857142857142857,0.627307142520802,0.01951228741974212,90.0,44.0,46.0,0.4888888888888889,,,,0.0,4033.0,4066.0,4138.0,4151.0,4172.0,4199.0,4211.0,4224.0,4448.0,4538.0
3,3,5052.328730098417,0.09441595162386512,14.871162958118681,5146.849321800287,-0.07755526246760017,5.095930801701914,5185.672422769799,1.743831002792866,11.17689750976233,5215.647895117677,-0.29734531048834656,6.70659766729814,5491.84316172815,0.4972910571781368,36.76385407051922,0.9935290566087396,113.0,76.0,80.0,312.0,392.0,37.0,1005.0,1000.0,39.0,22.0,17.0,0.5641025641025641,0.09088464829832413,0.01071498889000029,13.0,7.0,6.0,0.5384615384615384,0.01728944958204716,0.028252328659518326,27.0,14.0,13.0,0.5185185185185185,1.680299741169784,0.027885338291258145,14.0,6.0,8.0,0.42857142857142855,0.5998522130411847,0.02773706290101598,90.0,46.0,44.0,0.5111111111111111,,,,0.0,5031.0,5068.0,5144.0,5150.0,5172.0,5199.0,5210.0,5224.0,5446.0,5536.0
4,4,6050.424660900143,0.11273250014433801,2.5479654008640567,6148.547965400863,-0.06087369962107444,15.28779240496584,6185.550915538807,1.7365048615507404,11.360528358907786,6215.515893055158,-0.30924018244435053,6.9599411106968,6491.7839671061665,0.49029927350792635,36.26059725901704,0.9891818613779813,91.0,77.0,85.0,312.0,397.0,14.0,993.0,1000.0,14.0,1.0,13.0,0.07142857142857142,0.09295511770556909,0.01663096044225567,16.0,12.0,4.0,0.75,0.07642633016468625,0.022496984832255564,27.0,14.0,13.0,0.5185185185185185,1.682079164684405,0.02160936663472289,14.0,5.0,9.0,0.35714285714285715,0.5963812784311588,0.021379424424901664,92.0,46.0,46.0,0.5,,,,0.0,6049.0,6063.0,6140.0,6153.0,6172.0,6199.0,6211.0,6225.0,6448.0,6537.0
5,5,8049.001946383721,0.09151291427672327,14.257595142350764,8146.5479654008595,-0.062352107591939786,15.287792397982887,8185.639430684585,1.7350145601387197,11.361236392780237,8215.31805081516,-0.30645263656384053,7.051031840358207,8491.903695482606,0.49102065222818714,36.20420517897211,0.9923273197062522,102.0,78.0,86.0,313.0,399.0,24.0,2000.0,2002.0,33.0,18.0,15.0,0.5454545454545454,0.07639192099617143,0.02011146091682298,19.0,11.0,8.0,0.5789473684210527,0.044378258618066935,0.020547845460668752,28.0,14.0,14.0,0.5,1.679804247707661,0.02080479217356871,13.0,4.0,9.0,0.3076923076923077,0.6517546106126286,0.02076791256718105,93.0,47.0,46.0,0.5053763440860215,,,,0.0,8036.0,8060.0,8138.0,8153.0,8172.0,8200.0,8212.0,8224.0,8449.0,8537.0
6,6,9050.048562940683,0.09196634292262165,15.490754375940211,9150.12330450068,-0.06541097807738336,12.739826857444866,9185.628094004225,1.7397210320172076,11.35401367845537,9215.477286178282,-0.3059784360905643,6.812639581618777,9491.74272333445,0.4927428694482338,36.29958863995042,0.9929511426174878,106.0,73.0,84.0,313.0,397.0,33.0,1000.0,999.0,33.0,16.0,17.0,0.48484848484848486,0.09857971011589317,0.01205211206413426,15.0,12.0,3.0,0.8,0.10073327498028961,0.028272562742679763,27.0,14.0,13.0,0.5185185185185185,1.689205366048062,0.027493382659659345,14.0,4.0,10.0,0.2857142857142857,0.6374517889797773,0.02757257794672395,89.0,43.0,46.0,0.48314606741573035,,,,0.0,9034.0,9067.0,9140.0,9153.0,9172.0,9199.0,9211.0,9224.0,9450.0,9537.0
7,7,10049.61209361318,0.08921679463625234,15.066983222643268,10148.547965400861,-0.05935199802126033,15.287792338709952,10185.605737711036,1.7360669118446423,11.379746491333016,10215.317551348506,-0.30929167378285566,6.864595865828488,10491.88918967424,0.48925902025164714,36.4496824451526,0.9924691729873113,109.0,72.0,85.0,311.0,396.0,37.0,997.0,999.0,37.0,19.0,18.0,0.5135135135135135,0.07719463831196344,0.02036097897003305,17.0,12.0,5.0,0.7058823529411765,0.0751277711155911,0.02026228481827039,27.0,14.0,13.0,0.5185185185185185,1.6939092266698417,0.020405015506125355,14.0,4.0,10.0,0.2857142857142857,0.6499078944872438,0.020132144202019694,90.0,45.0,45.0,0.5,,,,0.0,10031.0,10068.0,10140.0,10152.0,10172.0,10199.0,10211.0,10225.0,10450.0,10536.0
8,8,11049.506460805744,0.09217881853127315,15.047268158841092,11150.371897717296,-0.06114145443439751,10.191861603456152,11185.666491381808,1.7442796090661956,11.28963572268768,11215.525358031446,-0.29505096664450625,6.843333062206168,11492.09173781862,0.4960406846871112,36.670574760166105,0.9934584616074769,108.0,74.0,86.0,313.0,399.0,34.0,1001.0,1001.0,40.0,21.0,19.0,0.525,0.05368058608336941,0.019122050940539485,15.0,12.0,3.0,0.8,0.11197194743110503,0.01873040120380245,27.0,14.0,13.0,0.5185185185185185,1.701668496817919,0.018739236887127336,13.0,5.0,8.0,0.38461538461538464,0.6127477338885076,0.01882046861432576,92.0,45.0,47.0,0.4891304347826087,,,,0.0,11030.0,11064.0,11138.0,11153.0,11172.0,11199.0,11211.0,11224.0,11448.0,11537.0
9,9,12049.787000347078,0.09325556690278115,15.115981218108473,12148.123304500717,-0.06077198358917878,12.739826971638449,12185.686709075564,1.7373443292151793,11.368118409648767,12215.189907564192,-0.30503279049503423,6.948839020700792,12491.883898339227,0.4933765224929566,36.58986575239903,0.9926557843211491,107.0,74.0,83.0,312.0,395.0,33.0,1002.0,1000.0,33.0,16.0,17.0,0.48484848484848486,0.10001422804048288,0.019016733874628947,12.0,7.0,5.0,0.5833333333333334,0.04427720860518081,0.019749787518533318,27.0,14.0,13.0,0.5185185185185185,1.7062528537365178,0.019972587449984515,14.0,4.0,10.0,0.2857142857142857,0.6574642963368628,0.020060614253267578,94.0,47.0,47.0,0.5,,,,0.0,12034.0,12067.0,12141.0,12153.0,12172.0,12199.0,12211.0,12224.0,12447.0,12536.0
